"","median","mean","min","max","std","NaN_count","Data_completion","Potential_outlier"
"Refugee.population.by.country.or.territory.of.asylum.x",232097,202996.803921569,930,566482,193314.584542504,11,0.82258064516129,1
"Refugee.population.by.country.or.territory.of.origin.x",7452,5477.2,7,9682,3565.90060235593,27,0.564516129032258,1
"Adolescent.fertility.rate..births.per.1.000.women.ages.15.19..x",128.2596,133.764462295082,71.976,183.286,39.5897326941307,1,0.983870967741935,0
"Life.expectancy.at.birth..female..years..x",57.969,58.3318360655738,48.658,69.352,5.16115973136635,1,0.983870967741935,0
"Life.expectancy.at.birth..male..years..x",54.003,54.1178032786885,44.995,64.595,5.07389203609902,1,0.983870967741935,0
"Adequacy.of.benefits.in.extreme.poor....1.9.a.day.......All.Social.Protection.and.Labor...preT.",27.54250622,27.54250622,11.27215767,43.81285477,23.0097475839474,60,0.032258064516129,0
"Adequacy.of.benefits.in.extreme.poor....1.9.a.day.......All.Social.Protection.and.Labor",8.375869751,8.375869751,8.07351017,8.678229332,0.427601020163647,60,0.032258064516129,0
"Adequacy.of.benefits......All.Social.Protection.and.Labor..preT.",12.404339313,12.404339313,5.927103996,18.88157463,9.16019403198339,60,0.032258064516129,0
"Adequacy.of.benefits......All.Social.Protection.and.Labor..rural",10.478914024,10.478914024,7.355202198,13.60262585,4.41759562927443,60,0.032258064516129,0
"Adequacy.of.benefits......All.Social.Protection.and.Labor..urban",17.8112740495,17.8112740495,4.379874229,31.24267387,18.9948677878067,60,0.032258064516129,0
"Adequacy.of.benefits.in.1st.quintile..poorest.......All.Social.Protection.and.Labor..preT.",38.69563675,38.69563675,13.88941193,63.50186157,35.0812995717201,60,0.032258064516129,0
"Adequacy.of.benefits.in.1st.quintile..poorest.......All.Social.Protection.and.Labor..rural",8.717270853,8.717270853,6.498208046,10.93633366,3.13822871741711,60,0.032258064516129,0
"Adequacy.of.benefits.in.1st.quintile..poorest.......All.Social.Protection.and.Labor",8.5768067845,8.5768067845,6.976802349,10.17681122,2.26274797254121,60,0.032258064516129,0
"Adequacy.of.benefits.in.1st.quintile..poorest.......All.Social.Protection.and.Labor..urban",8.181796551,8.181796551,8.048989296,8.314603806,0.187817821202541,60,0.032258064516129,0
"Adequacy.of.benefits.in.2nd.quintile......All.Social.Protection.and.Labor..preT.",7.255992889,7.255992889,6.783746719,7.728239059,0.66785693839275,60,0.032258064516129,0
"Adequacy.of.benefits.in.2nd.quintile......All.Social.Protection.and.Labor..rural",7.8970925805,7.8970925805,7.666462421,8.12772274,0.326160299457169,60,0.032258064516129,0
"Adequacy.of.benefits.in.2nd.quintile......All.Social.Protection.and.Labor",6.978379011,6.978379011,6.316176414,7.640581608,0.936495893716085,60,0.032258064516129,0
"Adequacy.of.benefits.in.2nd.quintile......All.Social.Protection.and.Labor..urban",7.146193743,7.146193743,7.101173401,7.191214085,0.0636683782390756,60,0.032258064516129,0
"Adequacy.of.benefits.in.3rd.quintile......All.Social.Protection.and.Labor..preT.",7.759869337,7.759869337,6.017153263,9.502585411,2.46457270721639,60,0.032258064516129,0
"Adequacy.of.benefits.in.3rd.quintile......All.Social.Protection.and.Labor..rural",7.6060726645,7.6060726645,6.907892704,8.304252625,0.987375569116212,60,0.032258064516129,0
"Adequacy.of.benefits.in.3rd.quintile......All.Social.Protection.and.Labor",9.988604544,9.988604544,7.250461578,12.72674751,3.87231891823369,60,0.032258064516129,0
"Adequacy.of.benefits.in.3rd.quintile......All.Social.Protection.and.Labor..urban",10.440783025,10.440783025,4.9581604,15.92340565,7.75359927364858,60,0.032258064516129,0
"Adequacy.of.benefits.in.4th.quintile......All.Social.Protection.and.Labor..preT.",8.2523395995,8.2523395995,5.033195019,11.47148418,4.55255792498295,60,0.032258064516129,0
"Adequacy.of.benefits.in.4th.quintile......All.Social.Protection.and.Labor..rural",10.443932532,10.443932532,6.468836784,14.41902828,5.62163431855322,60,0.032258064516129,0
"Adequacy.of.benefits.in.4th.quintile......All.Social.Protection.and.Labor",12.5246431835,12.5246431835,6.234282017,18.81500435,8.89591407388934,60,0.032258064516129,0
"Adequacy.of.benefits.in.4th.quintile......All.Social.Protection.and.Labor..urban",45.561911107,45.561911107,2.998295784,88.12552643,60.1940420534179,60,0.032258064516129,0
"Adequacy.of.benefits.in.5th.quintile..richest.......All.Social.Protection.and.Labor..preT.",9.9596220245,9.9596220245,3.844516039,16.07472801,8.64806582004299,60,0.032258064516129,0
"Adequacy.of.benefits.in.5th.quintile..richest.......All.Social.Protection.and.Labor..rural",13.322855712,13.322855712,6.301621914,20.34408951,9.92952406172396,60,0.032258064516129,0
"Adequacy.of.benefits.in.5th.quintile..richest.......All.Social.Protection.and.Labor",15.896769764,15.896769764,4.114302158,27.67923737,16.6629254866269,60,0.032258064516129,0
"Adequacy.of.benefits.in.5th.quintile..richest.......All.Social.Protection.and.Labor..urban",13.377377031,13.377377031,3.589457512,23.16529655,13.8422085311861,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.extreme.poor....1.9.a.day...All.Social.Protection.and.Labor...preT.",0.237055734,0.237055734,0.051619202,0.422492266,0.262246858513832,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.extreme.poor....1.9.a.day...All.Social.Protection.and.Labor",0.050895449,0.050895449,0.035133034,0.066657864,0.0222914210687531,60,0.032258064516129,0
"Average.per.capita.transfer..All.Social.Protection.and.Labor..preT.",0.2446274555,0.2446274555,0.056419004,0.432835907,0.266166944664539,60,0.032258064516129,0
"Average.per.capita.transfer..All.Social.Protection.and.Labor..rural",0.14912105,0.14912105,0.054096006,0.244146094,0.1343857059899,60,0.032258064516129,0
"Average.per.capita.transfer..All.Social.Protection.and.Labor",0.2446274555,0.2446274555,0.056419004,0.432835907,0.266166944664539,60,0.032258064516129,0
"Average.per.capita.transfer..All.Social.Protection.and.Labor..urban",1.0510614775,1.0510614775,0.061200552,2.040922403,1.39987474570528,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.1st.quintile..poorest...All.Social.Protection.and.Labor..preT.",0.2958498675,0.2958498675,0.053141788,0.538557947,0.343241057726427,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.1st.quintile..poorest...All.Social.Protection.and.Labor..rural",0.034660072,0.034660072,0.031141652,0.038178492,0.00497579728212475,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.1st.quintile..poorest...All.Social.Protection.and.Labor",0.0396405735,0.0396405735,0.032613769,0.046667378,0.0099374022240443,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.1st.quintile..poorest...All.Social.Protection.and.Labor..urban",0.063052455,0.063052455,0.039833527,0.086271383,0.0328365228813644,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.2nd.quintile..All.Social.Protection.and.Labor..preT.",0.072277602,0.072277602,0.046263039,0.098292165,0.0367901478138093,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.2nd.quintile..All.Social.Protection.and.Labor..rural",0.069097491,0.069097491,0.038647328,0.099547654,0.0430630334910714,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.2nd.quintile..All.Social.Protection.and.Labor",0.066605203,0.066605203,0.043840222,0.089370184,0.0321945448773658,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.2nd.quintile..All.Social.Protection.and.Labor..urban",0.106259385,0.106259385,0.046230722,0.166288048,0.084893349345724,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.3rd.quintile..All.Social.Protection.and.Labor..preT.",0.1133941355,0.1133941355,0.038777057,0.188011214,0.105524484399358,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.3rd.quintile..All.Social.Protection.and.Labor..rural",0.0839228015,0.0839228015,0.05086429,0.116981313,0.0467517953151669,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.3rd.quintile..All.Social.Protection.and.Labor",0.145998543,0.145998543,0.047865879,0.244131207,0.138780544340602,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.3rd.quintile..All.Social.Protection.and.Labor..urban",0.311085526,0.311085526,0.047779389,0.574391663,0.372371110001468,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.4th.quintile..All.Social.Protection.and.Labor..preT.",0.1992856,0.1992856,0.051818527,0.346752673,0.208549934640063,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.4th.quintile..All.Social.Protection.and.Labor..rural",0.1777800825,0.1777800825,0.050553452,0.305006713,0.17992562634813,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.4th.quintile..All.Social.Protection.and.Labor",0.302343305,0.302343305,0.06477087,0.53991574,0.335978159623001,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.4th.quintile..All.Social.Protection.and.Labor..urban",2.4478345195,2.4478345195,0.045230921,4.850438118,3.3977945940051,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.5th.quintile..richest...All.Social.Protection.and.Labor..preT.",0.679189041,0.679189041,0.102094918,1.256283164,0.816134335512407,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.5th.quintile..richest...All.Social.Protection.and.Labor..rural",0.541211825,0.541211825,0.117211901,0.965211749,0.599626442965962,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.5th.quintile..richest...All.Social.Protection.and.Labor",1.143938564,1.143938564,0.111622617,2.176254511,1.45991521290143,60,0.032258064516129,0
"Average.per.capita.transfer.held.by.5th.quintile..richest...All.Social.Protection.and.Labor..urban",2.3878827915,2.3878827915,0.161296532,4.614469051,3.14886848597848,60,0.032258064516129,0
"Benefits.incidence.in.extreme.poor....1.9.a.day.......All.Social.Protection.and.Labor...preT.",40.876722335,40.876722335,37.41104126,44.34240341,4.90121317912477,60,0.032258064516129,0
"Benefits.incidence.in.extreme.poor....1.9.a.day.......All.Social.Protection.and.Labor",15.6564540885,15.6564540885,6.629922867,24.68298531,12.7654428746295,60,0.032258064516129,0
"Benefits.incidence.in.1st.quintile..poorest.......All.Social.Protection.and.Labor..preT.",33.668239595,33.668239595,24.81529236,42.52118683,12.5199580467104,60,0.032258064516129,0
"Benefits.incidence.in.1st.quintile..poorest.......All.Social.Protection.and.Labor..rural",9.7958228605,9.7958228605,4.572896481,15.01874924,7.38633332116511,60,0.032258064516129,0
"Benefits.incidence.in.1st.quintile..poorest.......All.Social.Protection.and.Labor..urban",8.5013073705,8.5013073705,1.088480711,15.91413403,10.4833199973857,60,0.032258064516129,0
"Benefits.incidence.in.2nd.quintile......All.Social.Protection.and.Labor..preT.",10.8793492295,10.8793492295,4.877644539,16.88105392,8.48769217066332,60,0.032258064516129,0
"Benefits.incidence.in.2nd.quintile......All.Social.Protection.and.Labor..rural",11.7524595265,11.7524595265,9.253159523,14.25175953,3.53454396138882,60,0.032258064516129,0
"Benefits.incidence.in.2nd.quintile......All.Social.Protection.and.Labor",10.3914721015,10.3914721015,4.540813923,16.24213028,8.27408014484377,60,0.032258064516129,0
"Benefits.incidence.in.2nd.quintile......All.Social.Protection.and.Labor..urban",8.159677446,8.159677446,1.246013522,15.07334137,9.77739728701039,60,0.032258064516129,0
"Benefits.incidence.in.3rd.quintile......All.Social.Protection.and.Labor..preT.",10.5771174425,10.5771174425,8.065057755,13.08917713,3.55258887955322,60,0.032258064516129,0
"Benefits.incidence.in.3rd.quintile......All.Social.Protection.and.Labor..rural",13.156877997,13.156877997,8.446600914,17.86715508,6.66133773331378,60,0.032258064516129,0
"Benefits.incidence.in.3rd.quintile......All.Social.Protection.and.Labor",13.369977475,13.369977475,10.40838909,16.33156586,4.18831846023363,60,0.032258064516129,0
"Benefits.incidence.in.3rd.quintile......All.Social.Protection.and.Labor..urban",11.1166856305,11.1166856305,5.376029491,16.85734177,8.11851376940128,60,0.032258064516129,0
"Benefits.incidence.in.4th.quintile......All.Social.Protection.and.Labor..preT.",14.20112467,14.20112467,11.54716206,16.85508728,3.7532699170931,60,0.032258064516129,0
"Benefits.incidence.in.4th.quintile......All.Social.Protection.and.Labor..rural",18.517412185,18.517412185,17.35721016,19.67761421,1.64077343884773,60,0.032258064516129,0
"Benefits.incidence.in.4th.quintile......All.Social.Protection.and.Labor",19.999233245,19.999233245,18.48794937,21.51051712,2.13727815262077,60,0.032258064516129,0
"Benefits.incidence.in.4th.quintile......All.Social.Protection.and.Labor..urban",29.69035864,29.69035864,14.59828472,44.78243256,21.3434156220013,60,0.032258064516129,0
"Benefits.incidence.in.5th.quintile..richest.......All.Social.Protection.and.Labor..preT.",30.674168585,30.674168585,28.35938835,32.98894882,3.27359360225018,60,0.032258064516129,0
"Benefits.incidence.in.5th.quintile..richest.......All.Social.Protection.and.Labor..rural",46.77742767,46.77742767,35.50512695,58.04972839,15.941440557372,60,0.032258064516129,0
"Benefits.incidence.in.5th.quintile..richest.......All.Social.Protection.and.Labor",47.193749425,47.193749425,31.29470634,63.09279251,22.4846423595612,60,0.032258064516129,0
"Benefits.incidence.in.5th.quintile..richest.......All.Social.Protection.and.Labor..urban",42.53196907,42.53196907,37.55689621,47.50704193,7.0358155124063,60,0.032258064516129,0
"Beneficiary.incidence.in.extreme.poor....1.9.a.day.......All.Social.Protection.and.Labor...preT.",43.158857345,43.158857345,40.88969803,45.42801666,3.20907587845824,60,0.032258064516129,0
"Beneficiary.incidence.in.extreme.poor....1.9.a.day.......All.Social.Protection.and.Labor",41.344158175,41.344158175,39.63760376,43.05071259,2.41343239862069,60,0.032258064516129,0
"Beneficiary.incidence.in.1st.quintile..poorest.......All.Social.Protection.and.Labor..preT.",30.259833335,30.259833335,26.34563255,34.17403412,5.53551583599842,60,0.032258064516129,0
"Beneficiary.incidence.in.1st.quintile..poorest.......All.Social.Protection.and.Labor..rural",27.666010855,27.666010855,26.08899307,29.24302864,2.23023993965058,60,0.032258064516129,0
"Beneficiary.incidence.in.1st.quintile..poorest.......All.Social.Protection.and.Labor",28.738843915,28.738843915,25.29320526,32.18448257,4.87286891693799,60,0.032258064516129,0
"Beneficiary.incidence.in.1st.quintile..poorest.......All.Social.Protection.and.Labor..urban",25.10039806,25.10039806,24.45060539,25.75019073,0.918945606644625,60,0.032258064516129,0
"Beneficiary.incidence.in.2nd.quintile......All.Social.Protection.and.Labor..preT.",21.032958985,21.032958985,20.58689499,21.47902298,0.630829751415324,60,0.032258064516129,0
"Beneficiary.incidence.in.2nd.quintile......All.Social.Protection.and.Labor..rural",21.32128239,21.32128239,19.94868279,22.69388199,1.94114897002789,60,0.032258064516129,0
"Beneficiary.incidence.in.2nd.quintile......All.Social.Protection.and.Labor",21.447177885,21.447177885,20.90237617,21.9919796,0.770465974157122,60,0.032258064516129,0
"Beneficiary.incidence.in.2nd.quintile......All.Social.Protection.and.Labor..urban",17.62351894,17.62351894,15.29284286,19.95419502,3.29607372183456,60,0.032258064516129,0
"Beneficiary.incidence.in.3rd.quintile......All.Social.Protection.and.Labor..preT.",18.80571747,18.80571747,18.56722641,19.04420853,0.337277291556735,60,0.032258064516129,0
"Beneficiary.incidence.in.3rd.quintile......All.Social.Protection.and.Labor..rural",18.31542873,18.31542873,17.62849426,19.0023632,0.971472043935575,60,0.032258064516129,0
"Beneficiary.incidence.in.3rd.quintile......All.Social.Protection.and.Labor",18.851771355,18.851771355,18.45370102,19.24984169,0.562956466535401,60,0.032258064516129,0
"Beneficiary.incidence.in.3rd.quintile......All.Social.Protection.and.Labor..urban",20.347299575,20.347299575,19.10205269,21.59254646,1.76104503326985,60,0.032258064516129,0
"Beneficiary.incidence.in.4th.quintile......All.Social.Protection.and.Labor..preT.",16.38264942,16.38264942,14.41380882,18.35149002,2.78436107867078,60,0.032258064516129,0
"Beneficiary.incidence.in.4th.quintile......All.Social.Protection.and.Labor..rural",17.162346365,17.162346365,15.75117016,18.57352257,1.9957045280092,60,0.032258064516129,0
"Beneficiary.incidence.in.4th.quintile......All.Social.Protection.and.Labor",16.7790699,16.7790699,14.82129097,18.73684883,2.76871751493429,60,0.032258064516129,0
"Beneficiary.incidence.in.4th.quintile......All.Social.Protection.and.Labor..urban",19.297810555,19.297810555,18.84313774,19.75248337,0.643004461415354,60,0.032258064516129,0
"Beneficiary.incidence.in.5th.quintile..richest.......All.Social.Protection.and.Labor..preT.",13.51884222,13.51884222,11.36591053,15.67177391,3.04470519486083,60,0.032258064516129,0
"Beneficiary.incidence.in.5th.quintile..richest.......All.Social.Protection.and.Labor..rural",15.53493166,15.53493166,14.68342495,16.38643837,1.20421233773369,60,0.032258064516129,0
"Beneficiary.incidence.in.5th.quintile..richest.......All.Social.Protection.and.Labor",14.183135985,14.183135985,12.54854488,15.81772709,2.31166090962542,60,0.032258064516129,0
"Beneficiary.incidence.in.5th.quintile..richest.......All.Social.Protection.and.Labor..urban",17.630971905,17.630971905,14.25016975,21.01177406,4.78117625930119,60,0.032258064516129,0
"Benefit.cost.ratio...All.Social.Protection.and.Labor..extreme.poor....1.9.a.day...preT.",0.214333508,0.214333508,0.111985929,0.316681087,0.144741334297852,60,0.032258064516129,0
"Benefit.cost.ratio...All.Social.Protection.and.Labor..extreme.poor....1.9.a.day.",0.214333508,0.214333508,0.111985929,0.316681087,0.144741334297852,60,0.032258064516129,0
"Benefit.cost.ratio...All.Social.Protection.and.Labor..1st.quintile..poorest...preT.",0.140057091,0.140057091,0.082851388,0.197262794,0.0809010810276872,60,0.032258064516129,0
"Benefit.cost.ratio...All.Social.Protection.and.Labor..1st.quintile..poorest...rural",0.206257537,0.206257537,0.148381501,0.264133573,0.0818490750475935,60,0.032258064516129,0
"Benefit.cost.ratio...All.Social.Protection.and.Labor..1st.quintile..poorest.",0.140057091,0.140057091,0.082851388,0.197262794,0.0809010810276872,60,0.032258064516129,0
"Benefit.cost.ratio...All.Social.Protection.and.Labor...1st.quintile..poorest...urban",0.0458207695,0.0458207695,0.016043903,0.075597636,0.0421108484492731,60,0.032258064516129,0
"Coverage.in.extreme.poor....1.9.a.day.......All.Social.Protection.and.Labor...preT.",32.927865985,32.927865985,32.80002213,33.05570984,0.180798513607057,60,0.032258064516129,0
"Coverage.in.extreme.poor....1.9.a.day.......All.Social.Protection.and.Labor",31.99879074,31.99879074,31.62641525,32.37116623,0.526618468253326,60,0.032258064516129,0
"Coverage......All.Social.Protection.and.Labor..preT.",24.48955727,24.48955727,21.57822037,27.40089417,4.11725212861724,60,0.032258064516129,0
"Coverage......All.Social.Protection.and.Labor..rural",26.421619415,26.421619415,24.1164608,28.72677803,3.25998657675418,60,0.032258064516129,0
"Coverage......All.Social.Protection.and.Labor..urban",18.19932079,18.19932079,11.37507057,25.02357101,9.65094721415158,60,0.032258064516129,0
"Coverage.in.1st.quintile..poorest.......All.Social.Protection.and.Labor..preT.",36.48851776,36.48851776,36.09735489,36.87968063,0.553187835850787,60,0.032258064516129,0
"Coverage.in.1st.quintile..poorest.......All.Social.Protection.and.Labor..rural",36.37293053,36.37293053,35.27028275,37.47557831,1.55937944499659,60,0.032258064516129,0
"Coverage.in.1st.quintile..poorest.......All.Social.Protection.and.Labor",34.70170784,34.70170784,34.6781044,34.72531128,0.0333803049666578,60,0.032258064516129,0
"Coverage.in.1st.quintile..poorest.......All.Social.Protection.and.Labor..urban",22.637818815,22.637818815,14.66350842,30.61212921,11.2773779111818,60,0.032258064516129,0
"Coverage.in.2nd.quintile......All.Social.Protection.and.Labor..preT.",25.693097115,25.693097115,23.16954613,28.2166481,3.56884002832698,60,0.032258064516129,0
"Coverage.in.2nd.quintile......All.Social.Protection.and.Labor..rural",28.01107979,28.01107979,27.3657074,28.65645218,0.912694386719136,60,0.032258064516129,0
"Coverage.in.2nd.quintile......All.Social.Protection.and.Labor",26.1791935,26.1791935,23.73921776,28.61916924,3.45064678336933,60,0.032258064516129,0
"Coverage.in.2nd.quintile......All.Social.Protection.and.Labor..urban",16.846565247,16.846565247,8.704654694,24.9884758,11.5144003276812,60,0.032258064516129,0
"Coverage.in.3rd.quintile......All.Social.Protection.and.Labor..preT.",23.06083107,23.06083107,20.03144836,26.09021378,4.28419411410056,60,0.032258064516129,0
"Coverage.in.3rd.quintile......All.Social.Protection.and.Labor..rural",24.27835274,24.27835274,21.26605988,27.2906456,4.26002541645164,60,0.032258064516129,0
"Coverage.in.3rd.quintile......All.Social.Protection.and.Labor",23.141646385,23.141646385,19.9094162,26.37387657,4.5710637643387,60,0.032258064516129,0
"Coverage.in.3rd.quintile......All.Social.Protection.and.Labor..urban",18.93436909,18.93436909,10.84612465,27.02261353,11.4385049828368,60,0.032258064516129,0
"Coverage.in.4th.quintile......All.Social.Protection.and.Labor..preT.",20.346385,20.346385,15.55119896,25.14157104,6.78141713187013,60,0.032258064516129,0
"Coverage.in.4th.quintile......All.Social.Protection.and.Labor..rural",22.84139633,22.84139633,18.9873085,26.69548416,5.45050327976309,60,0.032258064516129,0
"Coverage.in.4th.quintile......All.Social.Protection.and.Labor",20.840815545,20.840815545,16.00156021,25.68007088,6.84374052654335,60,0.032258064516129,0
"Coverage.in.4th.quintile......All.Social.Protection.and.Labor..urban",17.695141315,17.695141315,10.71576786,24.67451477,9.87032459692777,60,0.032258064516129,0
"Coverage.in.5th.quintile..richest.......All.Social.Protection.and.Labor..preT.",16.8624897,16.8624897,12.26275444,21.46222496,6.50500798801774,60,0.032258064516129,0
"Coverage.in.5th.quintile..richest.......All.Social.Protection.and.Labor..rural",20.60883713,20.60883713,17.69858551,23.51908875,4.11571731092227,60,0.032258064516129,0
"Coverage.in.5th.quintile..richest.......All.Social.Protection.and.Labor",17.59144306,17.59144306,13.52287483,21.66001129,5.7538243703063,60,0.032258064516129,0
"Coverage.in.5th.quintile..richest.......All.Social.Protection.and.Labor..urban",14.887123105,14.887123105,11.94810295,17.82614326,4.15640216328888,60,0.032258064516129,0
"Gini.inequality.index.reduction.......All.Social.Protection.and.Labor..rural",0.521682411,0.521682411,0.453492045,0.589872777,0.0964357404203851,60,0.032258064516129,0
"Gini.inequality.index.reduction.......All.Social.Protection.and.Labor",0.2742719945,0.2742719945,0.218078285,0.330465704,0.0794699060949538,60,0.032258064516129,0
"Gini.inequality.index.reduction.......All.Social.Protection.and.Labor..urban",-0.0607625245,-0.0607625245,-0.291397363,0.169872314,0.326166916562428,60,0.032258064516129,0
"Poverty.Headcount.reduction.......All.Social.Protection.and.Labor..extreme.poor....1.9.a.day.",1.7510793805,1.7510793805,1.080485463,2.421673298,0.948363012973404,60,0.032258064516129,0
"Poverty.Headcount.reduction.......All.Social.Protection.and.Labor..1st.quintile..poorest...rural",2.614090204,2.614090204,1.768615007,3.459565401,1.19568249024746,60,0.032258064516129,0
"Poverty.Headcount.reduction.......All.Social.Protection.and.Labor..1st.quintile..poorest.",2.7884875535,2.7884875535,1.97399497,3.602980137,1.151866458038,60,0.032258064516129,0
"Poverty.Headcount.reduction.......All.Social.Protection.and.Labor...1st.quintile..poorest...urban",6.080752492,6.080752492,3.750650644,8.41085434,3.29526163515221,60,0.032258064516129,0
"Poverty.Gap.reduction.......All.Social.Protection.and.Labor..extreme.poor....1.9.a.day.",3.871945262,3.871945262,2.450359106,5.293531418,2.01042642189703,60,0.032258064516129,0
"Poverty.Gap.reduction.......All.Social.Protection.and.Labor..1st.quintile..poorest...rural",5.187082052,5.187082052,3.468111038,6.906053066,2.43099212132503,60,0.032258064516129,0
