"","features","coef"
"56","SOCIAL_Population.ages.65.and.above..female",94881475492.8147
"57","SOCIAL_Population.ages.65.and.above..female....of.female.population.",2356475.90401152
"58","SOCIAL_Population.ages.65.and.above..male",588151195169.202
"59","SOCIAL_Population.ages.65.and.above..male....of.male.population.",977641.670666283
"60","SOCIAL_Population.ages.65.and.above..total",198122173065.872
"61","SOCIAL_Population.ages.70.74..female....of.female.population.",1074305773772.18
"62","SOCIAL_Population.ages.75.79..female....of.female.population.",2043624770977.51
"63","SOCIAL_Population.ages.75.79..male....of.male.population.",1353946348312.16
"64","SOCIAL_Population.ages.80.and.above..female....of.female.population.",570148773241.677
"65","SOCIAL_Age.dependency.ratio..old....of.working.age.population.",7396938217.39045
"66","SOCIAL_Age.dependency.ratio..young....of.working.age.population.",60714081150.7397
"67","SOCIAL_Population.growth..annual....x",6098.6251480224
"68","SOCIAL_Population..female",147755336875.089
"69","SOCIAL_Population..male....of.total.population.",54752633.2551266
"70","SOCIAL_Number.of.infant.deaths..male.y",3478680.40094876
"71","SOCIAL_Number.of.under.five.deaths..male.y",7237535.05936081
"72","SOCIAL_Air.transport..freight..million.ton.km.",137679.226780543
"73","SOCIAL_Fixed.telephone.subscriptions",311153483882.003
"74","SOCIAL_Cereal.yield..kg.per.hectare.",10026237172.6302
"75","SOCIAL_CO2.emissions.from.gaseous.fuel.consumption....of.total.",21882059.3388135
"76","SOCIAL_CO2.emissions.from.solid.fuel.consumption..kt.",13916284049.0642
"77","SOCIAL_CO2.emissions.from.solid.fuel.consumption....of.total.",71510072.2399234
"78","SOCIAL_Other.greenhouse.gas.emissions..HFC..PFC.and.SF6..thousand.metric.tons.of.CO2.equivalent.",96519772791.9521
"79","SOCIAL_Population.growth..annual....y",403.949924548706
"80","SOCIAL_Urban.population.y",3239645908.77683
