,features,coef
57,ECONOMIC_Total.reserves.minus.gold..current.US...x,1063597685
58,ECONOMIC_Inflation..consumer.prices..annual....x,1.019279632
59,ECONOMIC_General.government.final.consumption.expenditure..current.US..,0.027705689
60,ECONOMIC_General.government.final.consumption.expenditure..constant.LCU.,1716501779
61,ECONOMIC_Households.and.NPISHs.Final.consumption.expenditure..current.US..,0.015948733
62,ECONOMIC_Households.and.NPISHs.Final.consumption.expenditure..constant.2015.US..,6234474344
63,ECONOMIC_Final.consumption.expenditure..current.US..,0.02429046
64,ECONOMIC_Final.consumption.expenditure..constant.2015.US..,1083138205
65,ECONOMIC_Gross.national.expenditure..current.US..,0.009157135
66,ECONOMIC_Gross.national.expenditure..constant.2015.US..,2.05E-05
67,ECONOMIC_Exports.of.goods.and.services..current.US...x,0.075145737
68,ECONOMIC_Exports.of.goods.and.services..current.LCU.,3.979312666
69,ECONOMIC_Exports.of.goods.and.services..constant.LCU.,6049812241
70,ECONOMIC_Gross.fixed.capital.formation..current.US..,0.044475843
71,ECONOMIC_Gross.fixed.capital.formation..current.LCU.,6797292892
72,ECONOMIC_Changes.in.inventories..current.LCU.,13.71683907
73,ECONOMIC_Gross.capital.formation..current.US..,0.00347474
74,ECONOMIC_Gross.capital.formation..annual...growth.,0.013531497
75,ECONOMIC_Imports.of.goods.and.services..current.US...x,0.018155572
76,ECONOMIC_Imports.of.goods.and.services..constant.2015.US...x,188160175.4
77,ECONOMIC_External.balance.on.goods.and.services..current.US...x,0.103660385
78,ECONOMIC_External.balance.on.goods.and.services..current.LCU.,9175101366
79,ECONOMIC_Agriculture..forestry..and.fishing..value.added..current.LCU.,12.12630917
80,ECONOMIC_Agriculture..forestry..and.fishing..value.added..constant.2015.US..,17194125793
81,ECONOMIC_Agriculture..forestry..and.fishing..value.added..constant.LCU.,5.104219895
82,ECONOMIC_Manufacturing..value.added..current.LCU.,4.797718407
83,ECONOMIC_Manufacturing..value.added..constant.LCU.,1.09781E+11
84,ECONOMIC_Industry..including.construction...value.added..constant.LCU.,53892092310
85,ECONOMIC_Chemicals....of.value.added.in.manufacturing.,733648871.7
86,ECONOMIC_Food..beverages.and.tobacco....of.value.added.in.manufacturing.,4940406923
87,ECONOMIC_Other.manufacturing....of.value.added.in.manufacturing.,11812578562
88,ECONOMIC_Adjusted.savings..education.expenditure..current.US..,28773913443
89,ECONOMIC_Adjusted.savings..carbon.dioxide.damage..current.US..,1.62186E+11
90,ECONOMIC_Adjusted.savings..net.forest.depletion..current.US..,14458437340
91,ECONOMIC_Adjusted.savings..net.national.savings..current.US..,7371657936
92,ECONOMIC_Adjusted.net.national.income..current.US..,0.957643837
93,ECONOMIC_Adjusted.net.national.income..annual...growth.,54115660.8
94,ECONOMIC_Adjusted.net.national.income.per.capita..constant.2015.US..,7531885979
95,ECONOMIC_Adjusted.net.national.income.per.capita..annual...growth.,63.45949522
96,ECONOMIC_Exports.as.a.capacity.to.import..constant.LCU..x,12122081869
97,ECONOMIC_Gross.value.added.at.basic.prices..GVA...current.US..,0.01464255
98,ECONOMIC_Gross.value.added.at.basic.prices..GVA...constant.2015.US..,0.000207146
99,ECONOMIC_Gross.value.added.at.basic.prices..GVA...constant.LCU.,0.053820002
100,ECONOMIC_Gross.domestic.savings..current.US..,0.00706663
101,ECONOMIC_Gross.savings..current.US..,0.072815514
102,ECONOMIC_Gross.savings..current.LCU.,1756220393
103,ECONOMIC_Net.primary.income..Net.income.from.abroad...current.US..,0.119022546
104,ECONOMIC_Net.primary.income..Net.income.from.abroad...current.LCU.,2.664316661
105,ECONOMIC_Taxes.less.subsidies.on.products..constant.LCU.,12.48031213
106,ECONOMIC_Net.secondary.income..Net.current.transfers.from.abroad...current.US..,0.053864963
107,ECONOMIC_Net.secondary.income..Net.current.transfers.from.abroad...current.LCU.,0.756913296
108,ECONOMIC_Net.secondary.income..Net.current.transfers.from.abroad...constant.LCU.,0.031669989
109,ECONOMIC_School.age.population..last.grade.of.primary.education..male..number.,69.58130845
110,ECONOMIC_School.age.population..last.grade.of.primary.education..both.sexes..number.,1244.561926
111,ECONOMIC_School.age.population..lower.secondary.education..male..number.,8686.822129
112,ECONOMIC_School.age.population..secondary.education..male..number.,6712.168737
113,ECONOMIC_School.age.population..tertiary.education..female..number.,65.80049772
114,ECONOMIC_School.age.population..tertiary.education..both.sexes..number.,132.5083158
115,ECONOMIC_School.age.population..tertiary.education..male..number.,23991.02442
116,ECONOMIC_Population.of.the.official.entrance.age.to.primary.education..both.sexes..number.,207.364628
117,ECONOMIC_Population.ages.0.14....of.total.population.,6323300568
118,ECONOMIC_Number.of.infant.deaths..male,1759031.795
119,ECONOMIC_CO2.emissions.from.liquid.fuel.consumption..kt..x,1.11317E+12
120,ECONOMIC_CO2.emissions.from.liquid.fuel.consumption....of.total.,57856499.4
121,ECONOMIC_CO2.emissions.from.solid.fuel.consumption..kt.,38506396345
122,ECONOMIC_Capture.fisheries.production..metric.tons.,20415.91688
123,ECONOMIC_Total.reserves.in.months.of.imports.x,492508719.7
124,ECONOMIC_Claims.on.central.government..annual.growth.as...of.broad.money..x,0.040970071
125,ECONOMIC_Net.domestic.credit..current.LCU..x,0.099199249
126,ECONOMIC_Net.foreign.assets..current.LCU..x,9576242043
127,ECONOMIC_Broad.money..current.LCU..x,5824030658
128,ECONOMIC_Deposit.interest.rate.....x,4870333366
129,ECONOMIC_Interest.rate.spread..lending.rate.minus.deposit.rate.....x,14494457540
130,ECONOMIC_Official.exchange.rate..LCU.per.US...period.average..x,0.254045709
131,ECONOMIC_Claims.on.governments..etc...annual.growth.as...of.M2..x,1052279528
132,ECONOMIC_Claims.on.private.sector..annual.growth.as...of.M2..x,3194370685
133,ECONOMIC_Liquid.liabilities.in.millions.USD..2000.constant..x,2241057301
134,ECONOMIC_Number.of.infant.deaths,402505.3324
135,ECONOMIC_Number.of.neonatal.deaths,398792428.8
136,ECONOMIC_Mortality.rate..under.5..male..per.1.000.live.births.,1478211751
137,ECONOMIC_Mortality.rate..neonatal..per.1.000.live.births.,136286.6796
138,ECONOMIC_Refugee.population.by.country.or.territory.of.asylum,435977170.6
139,ECONOMIC_Adolescent.fertility.rate..births.per.1.000.women.ages.15.19.,17624988.92
140,ECONOMIC_Mortality.rate..adult..male..per.1.000.male.adults.,1037215310
141,ECONOMIC_Mortality.rate..infant..per.1.000.live.births.,13690196.58
142,ECONOMIC_Fertility.rate..total..births.per.woman.,872670164.9
143,ECONOMIC_Survival.to.age.65..female....of.cohort.,919173841.8
144,ECONOMIC_Population.ages.00.04..female....of.female.population.,967457879.8
145,ECONOMIC_Population.ages.0.14..total,13378892678
146,ECONOMIC_Population.ages.05.09..female....of.female.population.,3470584287
147,ECONOMIC_Population.ages.10.14..female....of.female.population.,9506582871
148,ECONOMIC_Population.ages.10.14..male....of.male.population.,40895249588
149,ECONOMIC_Population.ages.15.64..female,1505196835
150,ECONOMIC_Population.ages.15.64..male,951483627.9
151,ECONOMIC_Population.ages.15.64..total,22498362580
152,ECONOMIC_Population.ages.20.24..female....of.female.population.,609665640.5
153,ECONOMIC_Population.ages.20.24..male....of.male.population.,1291583796
154,ECONOMIC_Population.ages.25.29..female....of.female.population.,75962740.65
155,ECONOMIC_Population.ages.25.29..male....of.male.population.,11585429648
156,ECONOMIC_Population.ages.30.34..female....of.female.population.,340861426.2
157,ECONOMIC_Population.ages.35.39..female....of.female.population.,12741013276
158,ECONOMIC_Population.ages.40.44..male....of.male.population.,1.25877E+11
159,ECONOMIC_Population.ages.55.59..male....of.male.population.,8964038132
160,ECONOMIC_Population.ages.60.64..male....of.male.population.,36001774462
161,ECONOMIC_Population.ages.65.and.above..female,1981543007
162,ECONOMIC_Population.ages.65.and.above..female....of.female.population.,25484.77524
163,ECONOMIC_Population.ages.65.and.above..male,1314523327
164,ECONOMIC_Population.ages.65.and.above..total,862726253
165,ECONOMIC_Population.ages.70.74..female....of.female.population.,55057625581
166,ECONOMIC_Population.ages.75.79..male....of.male.population.,2.60988E+11
167,ECONOMIC_Age.dependency.ratio..old....of.working.age.population.,34168549.79
168,ECONOMIC_Age.dependency.ratio..young....of.working.age.population.,1.35854E+11
169,ECONOMIC_Population.growth..annual...,2844.994327
170,ECONOMIC_Population..total,2.496811781
171,ECONOMIC_Population..female....of.total.population.,2895.334171
172,ECONOMIC_Population..male,1.07658E+11
173,ECONOMIC_Population..male....of.total.population.,872819.0361
174,ECONOMIC_Population.ages.80.and.above..female,140673.1324
175,ECONOMIC_Air.transport..registered.carrier.departures.worldwide,73149675.7
176,ECONOMIC_Fixed.telephone.subscriptions,22929840325
177,ECONOMIC_Fixed.telephone.subscriptions..per.100.people.,154509836.8
178,ECONOMIC_Insurance.and.financial.services....of.commercial.service.imports..x,14481076131
179,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Europe...Central.Asia....of.total.merchandise.imports..x,46767673677
180,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Latin.America...the.Caribbean....of.total.merchandise.imports..x,10854126943
181,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Middle.East...North.Africa....of.total.merchandise.imports..x,6740531794
182,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Sub.Saharan.Africa....of.total.merchandise.imports..x,5077842466
183,ECONOMIC_Merchandise.imports.by.the.reporting.economy..current.US...x,4169572721
184,ECONOMIC_Computer..communications.and.other.services....of.commercial.service.imports..x,56.5931573
185,ECONOMIC_Transport.services....of.commercial.service.imports..x,1564135022
186,ECONOMIC_Travel.services....of.commercial.service.imports..x,3074476130
187,ECONOMIC_Insurance.and.financial.services....of.commercial.service.exports..x,3706142678
188,ECONOMIC_Merchandise.exports..current.US...x,803308319
189,ECONOMIC_Merchandise.exports.to.high.income.economies....of.total.merchandise.exports..x,6336858639
190,ECONOMIC_Merchandise.exports.to.low..and.middle.income.economies.in.East.Asia...Pacific....of.total.merchandise.exports..x,39808589002
191,ECONOMIC_Merchandise.exports.to.low..and.middle.income.economies.in.Europe...Central.Asia....of.total.merchandise.exports..x,2.94412E+11
192,ECONOMIC_Merchandise.exports.to.low..and.middle.income.economies.in.Middle.East...North.Africa....of.total.merchandise.exports..x,2175179086
193,ECONOMIC_Merchandise.exports.to.low..and.middle.income.economies.in.Sub.Saharan.Africa....of.total.merchandise.exports..x,5237190485
194,ECONOMIC_Merchandise.exports.by.the.reporting.economy..residual....of.total.merchandise.exports..x,6.27065772
195,ECONOMIC_Merchandise.exports.by.the.reporting.economy..current.US...x,949564479.8
196,ECONOMIC_Computer..communications.and.other.services....of.commercial.service.exports..x,44.12479083
197,ECONOMIC_Commercial.service.exports..current.US...x,1743837488
198,ECONOMIC_Military.expenditure..current.USD..x,0.003960818
199,ECONOMIC_Military.expenditure..current.LCU..x,16129637187
200,ECONOMIC_Population.in.largest.city,3951754545
201,ECONOMIC_Population.in.the.largest.city....of.urban.population.,11087.79399
202,ECONOMIC_Urban.population....of.total.population.,480183836.9
203,ECONOMIC_Age.population..age.00..male..interpolated,6963.203479
204,ECONOMIC_Age.population..age.01..female..interpolated,1741.418996
205,ECONOMIC_Age.population..age.01..male..interpolated,55352.09845
206,ECONOMIC_Age.population..age.03..male..interpolated,30907.96654
207,ECONOMIC_Age.population..age.04..male..interpolated,8384.631897
208,ECONOMIC_Use.of.IMF.credit..DOD..current.US...x,7.239673652
209,ECONOMIC_External.debt.stocks..private.nonguaranteed..PNG...DOD..current.US...x,4.646853483
210,ECONOMIC_External.debt.stocks..short.term..DOD..current.US...x,4031165859
211,ECONOMIC_IBRD.loans.and.IDA.credits..DOD..current.US...x,97.32056572
212,ECONOMIC_Net.financial.flows..bilateral..NFL..current.US...x,122.8368982
213,ECONOMIC_Net.financial.flows..IDA..NFL..current.US...x,10.1591116
214,ECONOMIC_Net.financial.flows..multilateral..NFL..current.US...x,99.49201345
215,ECONOMIC_PPG..commercial.banks..NFL..current.US...x,7.445941501
216,ECONOMIC_Commercial.banks.and.other.lending..PPG...PNG...NFL..current.US...x,74.73083458
217,ECONOMIC_PPG..other.private.creditors..NFL..current.US...x,95.54641732
218,ECONOMIC_PPG..private.creditors..NFL..current.US...x,1501.715524
219,ECONOMIC_IMF.repurchases.and.charges..TDS..current.US...x,5668922683
220,ECONOMIC_Debt.service..PPG.and.IMF.only....of.exports.of.goods..services.and.primary.income..x,106.5453115
221,ECONOMIC_Debt.service.on.external.debt..public.and.publicly.guaranteed..PPG...TDS..current.US...x,26187899240
222,ECONOMIC_Multilateral.debt.service....of.public.and.publicly.guaranteed.debt.service..x,7942888024
223,ECONOMIC_Communications..computer..etc.....of.service.imports..BoP..y,6.167786543
224,ECONOMIC_Insurance.and.financial.services....of.service.imports..BoP..y,0.072137565
225,ECONOMIC_Imports.of.goods..services.and.primary.income..BoP..current.US...y,201547126.1
226,ECONOMIC_Net.trade.in.goods.and.services..BoP..current.US...y,0.861564496
227,ECONOMIC_Communications..computer..etc.....of.service.exports..BoP..y,7.301295175
228,ECONOMIC_Insurance.and.financial.services....of.service.exports..BoP..y,4.476044412
229,ECONOMIC_Service.exports..BoP..current.US...y,2.342991715
230,ECONOMIC_Exports.of.goods..services.and.primary.income..BoP..current.US...y,843189621.9
231,ECONOMIC_Transport.services....of.service.exports..BoP..y,247833676.1
232,ECONOMIC_Exports.of.goods.and.services..annual...growth..y,1301376705
233,ECONOMIC_Imports.of.goods.and.services..current.US...y,0.729365148
234,ECONOMIC_Imports.of.goods.and.services..constant.2015.US...y,1735900607
235,ECONOMIC_External.balance.on.goods.and.services..current.US...y,9814329689
236,ECONOMIC_Exports.as.a.capacity.to.import..constant.LCU..y,3394680853
237,ECONOMIC_Insurance.and.financial.services....of.commercial.service.imports..y,8133030048
238,ECONOMIC_Merchandise.imports.from.economies.in.the.Arab.World....of.total.merchandise.imports..y,0.433080626
239,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.East.Asia...Pacific....of.total.merchandise.imports..y,3520908051
240,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Europe...Central.Asia....of.total.merchandise.imports..y,39060523767
241,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Latin.America...the.Caribbean....of.total.merchandise.imports..y,12601932746
242,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Middle.East...North.Africa....of.total.merchandise.imports..y,4235288299
243,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.South.Asia....of.total.merchandise.imports..y,3570369505
244,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Sub.Saharan.Africa....of.total.merchandise.imports..y,1101726288
245,ECONOMIC_Merchandise.imports.by.the.reporting.economy..current.US...y,2390757271
246,ECONOMIC_Computer..communications.and.other.services....of.commercial.service.imports..y,47.62537075
247,ECONOMIC_Commercial.service.imports..current.US...y,451750107.3
248,ECONOMIC_Insurance.and.financial.services....of.commercial.service.exports..y,5131042370
249,ECONOMIC_Merchandise.exports.to.high.income.economies....of.total.merchandise.exports..y,844149360.5
250,ECONOMIC_Merchandise.exports.to.low..and.middle.income.economies.in.East.Asia...Pacific....of.total.merchandise.exports..y,31125333786
251,ECONOMIC_Merchandise.exports.to.low..and.middle.income.economies.in.Sub.Saharan.Africa....of.total.merchandise.exports..y,4193926745
252,ECONOMIC_Merchandise.exports.by.the.reporting.economy..residual....of.total.merchandise.exports..y,6.328111782
253,ECONOMIC_Merchandise.exports.by.the.reporting.economy..current.US...y,635178557.1
254,ECONOMIC_Computer..communications.and.other.services....of.commercial.service.exports..y,34.49694255
255,ECONOMIC_Commercial.service.exports..current.US...y,358720044.6
256,ECONOMIC_Value.Local.Currency..2015.prices,172826014.2
257,ECONOMIC_Value.US...2015.prices,32785297.76
258,ECONOMIC_Communications..computer..etc.....of.service.imports..BoP.,1.469986924
259,ECONOMIC_Imports.of.goods.and.services..BoP..current.US..,198640284.9
260,ECONOMIC_Goods.imports..BoP..current.US..,2.077486749
261,ECONOMIC_Imports.of.goods..services.and.primary.income..BoP..current.US...x.1,357012478.9
262,ECONOMIC_Travel.services....of.service.imports..BoP.,0.74648663
263,ECONOMIC_Net.trade.in.goods.and.services..BoP..current.US..,1.239599521
264,ECONOMIC_Communications..computer..etc.....of.service.exports..BoP.,7.335239828
265,ECONOMIC_Insurance.and.financial.services....of.service.exports..BoP..x.1,6.506566626
266,ECONOMIC_Service.exports..BoP..current.US..,2.323165121
267,ECONOMIC_Exports.of.goods..services.and.primary.income..BoP..current.US...x.1,771829442.9
268,ECONOMIC_Transport.services....of.service.exports..BoP.,212489084.9
269,ECONOMIC_Exports.of.goods.and.services..annual...growth.,310202722.4
270,ECONOMIC_Imports.of.goods.and.services..current.US..,0.296556448
271,ECONOMIC_Imports.of.goods.and.services..constant.2015.US..,3066882342
272,ECONOMIC_External.balance.on.goods.and.services..current.US..,5241012270
273,ECONOMIC_Exports.as.a.capacity.to.import..constant.LCU.,2681025043
274,ECONOMIC_Insurance.and.financial.services....of.commercial.service.imports..x.1,4432148380
275,ECONOMIC_Merchandise.imports.from.economies.in.the.Arab.World....of.total.merchandise.imports..x.1,0.101393184
276,ECONOMIC_Merchandise.imports..current.US...x.1,370810321
277,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.East.Asia...Pacific....of.total.merchandise.imports..x.1,587126873.1
278,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Europe...Central.Asia....of.total.merchandise.imports..x.1,25599394137
279,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Latin.America...the.Caribbean....of.total.merchandise.imports..x.1,7880606380
280,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Middle.East...North.Africa....of.total.merchandise.imports..x.1,3963532400
281,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.South.Asia....of.total.merchandise.imports..x.1,2208726582
282,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Sub.Saharan.Africa....of.total.merchandise.imports..x.1,740931058.3
283,ECONOMIC_Merchandise.imports.by.the.reporting.economy..current.US...x.1,1734429213
284,ECONOMIC_Computer..communications.and.other.services....of.commercial.service.imports..x.1,42.40292107
285,ECONOMIC_Commercial.service.imports..current.US...x.1,509081460.9
286,ECONOMIC_Insurance.and.financial.services....of.commercial.service.exports..x.1,2178951582
287,ECONOMIC_Merchandise.exports.to.high.income.economies....of.total.merchandise.exports..x.1,571866839
288,ECONOMIC_Merchandise.exports.to.low..and.middle.income.economies.in.East.Asia...Pacific....of.total.merchandise.exports..x.1,21464486471
289,ECONOMIC_Merchandise.exports.to.low..and.middle.income.economies.in.Europe...Central.Asia....of.total.merchandise.exports..x.1,40469559103
290,ECONOMIC_Merchandise.exports.to.low..and.middle.income.economies.in.Latin.America...the.Caribbean....of.total.merchandise.exports..x.1,668727718.9
291,ECONOMIC_Merchandise.exports.to.low..and.middle.income.economies.in.Sub.Saharan.Africa....of.total.merchandise.exports..x.1,4077138519
292,ECONOMIC_Merchandise.exports.by.the.reporting.economy..residual....of.total.merchandise.exports..x.1,5.459790744
293,ECONOMIC_Merchandise.exports.by.the.reporting.economy..current.US...x.1,683824274.1
294,ECONOMIC_Computer..communications.and.other.services....of.commercial.service.exports..x.1,27.69398977
295,ECONOMIC_Commercial.service.exports..current.US...x.1,564685371
296,ECONOMIC_Transport.services....of.commercial.service.exports..x.1,52504378.84
297,ECONOMIC_CO2.emissions.from.gaseous.fuel.consumption....of.total..y,373807.6562
298,ECONOMIC_Adjusted.savings..mineral.depletion..current.US...y,5.52963E+11
299,ECONOMIC_Imports.of.goods..services.and.primary.income..BoP..current.US...y.1,2.687660368
300,ECONOMIC_Grants..excluding.technical.cooperation..BoP..current.US...y,491.0817683
301,ECONOMIC_Technical.cooperation.grants..BoP..current.US...y,0.967733539
302,ECONOMIC_Exports.of.goods..services.and.primary.income..BoP..current.US...y.1,51.44148452
303,ECONOMIC_Use.of.IMF.credit..DOD..current.US...y,1.771894992
304,ECONOMIC_External.debt.stocks..private.nonguaranteed..PNG...DOD..current.US...y,1.320908093
305,ECONOMIC_External.debt.stocks..short.term..DOD..current.US...y,161509328.8
306,ECONOMIC_Short.term.debt....of.exports.of.goods..services.and.primary.income..y,5999377784
307,ECONOMIC_IBRD.loans.and.IDA.credits..DOD..current.US...y,76.74693984
308,ECONOMIC_Net.financial.flows..bilateral..NFL..current.US...y,287.2819545
309,ECONOMIC_Net.financial.flows..multilateral..NFL..current.US...y,64.2424191
310,ECONOMIC_PPG..commercial.banks..NFL..current.US...y,32.24385033
311,ECONOMIC_Commercial.banks.and.other.lending..PPG...PNG...NFL..current.US...y,15.03914519
312,ECONOMIC_PNG..commercial.banks.and.other.creditors..NFL..current.US...y,1270.873153
313,ECONOMIC_PPG..other.private.creditors..NFL..current.US...y,20.60945809
314,ECONOMIC_PPG..private.creditors..NFL..current.US...y,2089.847765
315,ECONOMIC_Net.official.development.assistance.received..current.US...y,21578325682
316,ECONOMIC_IMF.repurchases.and.charges..TDS..current.US...y,2234588953
317,ECONOMIC_Debt.service..PPG.and.IMF.only....of.exports.of.goods..services.and.primary.income..y,117.8795695
318,ECONOMIC_Debt.service.on.external.debt..public.and.publicly.guaranteed..PPG...TDS..current.US...y,12868939179
319,ECONOMIC_Multilateral.debt.service....of.public.and.publicly.guaranteed.debt.service..y,11.20964157
320,ECONOMIC_Total.reserves.in.months.of.imports.y,1.425902442
321,ECONOMIC_Charges.for.the.use.of.intellectual.property..payments..BoP..current.US...y,733.6280341
322,ECONOMIC_Foreign.direct.investment..net.outflows..BoP..current.US...y,73655792625
323,ECONOMIC_Portfolio.investment..net..BoP..current.US...y,77.94494049
324,ECONOMIC_Foreign.direct.investment..net.inflows..BoP..current.US..,5140023210
325,ECONOMIC_Personal.transfers..receipts..BoP..current.US...y,34.62765074
326,ECONOMIC_Personal.remittances..received..current.US..,38829007338
327,ECONOMIC_Total.reserves.in.months.of.imports,4.179855059
328,ECONOMIC_Total.reserves.minus.gold..current.US...y,6447353029
329,ECONOMIC_Net.domestic.credit..current.LCU..y,0.097575349
330,ECONOMIC_Net.foreign.assets..current.LCU..y,2760878418
331,ECONOMIC_Broad.money..current.LCU..y,5671211814
332,ECONOMIC_Broad.money.to.total.reserves.ratio.y,573814563.9
333,ECONOMIC_Deposit.interest.rate.....y,2256323423
334,ECONOMIC_Interest.rate.spread..lending.rate.minus.deposit.rate.....y,863111432.7
335,ECONOMIC_Official.exchange.rate..LCU.per.US...period.average..y,0.67086293
336,ECONOMIC_Claims.on.governments..etc...annual.growth.as...of.M2..y,2265651084
337,ECONOMIC_Claims.on.private.sector..annual.growth.as...of.M2..y,1429451036
338,ECONOMIC_Bank.credit.to.bank.deposits.....y,2243068635
339,ECONOMIC_Insurance.and.financial.services....of.service.exports..BoP..y.1,1247423827
340,ECONOMIC_Insurance.and.financial.services....of.commercial.service.imports..y.1,4149748172
341,ECONOMIC_Merchandise.imports..current.US...y.1,118174722.7
342,ECONOMIC_Merchandise.imports.from.high.income.economies....of.total.merchandise.imports..y.1,832500954.3
343,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Europe...Central.Asia....of.total.merchandise.imports..y.1,4528995055
344,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Latin.America...the.Caribbean....of.total.merchandise.imports..y.1,13184833303
345,ECONOMIC_Merchandise.imports.from.low..and.middle.income.economies.in.Middle.East...North.Africa....of.total.merchandise.imports..y.1,5741663165
346,ECONOMIC_Merchandise.imports.by.the.reporting.economy..residual....of.total.merchandise.imports..y.1,0.282338631
